sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.3032;5.4995;7.9188;-2.1328;5.4099;7.8965;-0.0615;0.1542;-0.2039;-0.6643;-0.7874;0.133;36.0;20.9;20.3;-8.4;322.8;-33.48;15.11;3.1;75.277;22.506311;88.3356;45.16;NaN;16.56;40.32258;324.8;10 / 10;27;2020-01-17 17:12:15:878
-0.99;4.8973;7.185;-1.0652;4.9915;8.3738;0.1057;-0.1034;-1.1793;-0.3912;0.3452;-0.0271;13.0;18.4;21.1;-13.5;326.92;-31.02;5.58;3.1;54.346;22.506311;88.3356;45.16;NaN;16.56;40.32258;324.8;10 / 11;2027;2020-01-17 17:12:17:878
-0.328;5.6934;7.6986;-0.3824;5.5346;8.0865;0.0301;0.0453;-0.6743;0.0779;0.0208;-0.0594;12.0;20.7;19.3;-14.3;319.71;-34.15;2.38;3.1;70.313;22.506453;88.33557;-64.52;NaN;12.85;66.12903;287.0;10 / 12;4027;2020-01-17 17:12:19:878
-0.0599;5.4001;6.6583;0.142;5.8417;7.8756;-0.7014;-0.4142;-1.9636;-0.2874;1.2322;-0.2225;9.0;19.5;19.7;-17.4;321.99;-36.56;-1.03;3.1;70.748;22.5065;88.33547;-70.97;NaN;11.66;43.54839;289.3;9 / 12;6027;2020-01-17 17:12:21:878
0.972;6.7804;7.4735;-0.6953;5.7534;7.9111;1.4449;1.0194;-0.4485;0.0303;0.154;-0.341;16.0;20.4;19.5;-16.3;324.35;-35.97;3.81;3.1;71.457;22.506529;88.335434;-93.55;NaN;10.4;35.48387;303.9;15 / 17;8027;2020-01-17 17:12:23:878
0.1784;5.0649;8.1726;-0.2709;4.8072;8.5433;0.2202;0.2268;-0.3574;-0.1017;0.3171;0.0383;26.0;17.8;22.2;-18.0;328.36;-29.35;1.82;3.1;74.592;22.506588;88.335396;-116.13;NaN;12.02;30.64516;323.4;15 / 20;10027;2020-01-17 17:12:25:878
-0.5411;4.956;7.1886;-1.0283;4.588;8.606;0.2654;0.2604;-1.383;0.1964;-0.3536;-0.0258;54.0;18.7;23.7;-17.4;330.49;-29.93;6.02;3.1;68.073;22.50664;88.33535;-125.81;NaN;10.48;27.419355;315.6;16 / 20;12027;2020-01-17 17:12:27:878
-1.2426;4.8243;8.4994;-0.7673;5.1857;8.2879;-0.4216;-0.3052;0.1817;-0.2721;0.7398;-0.0912;29.0;18.2;25.9;-15.1;330.72;-30.8;2.37;3.1;69.019;22.506678;88.33528;-125.81;NaN;11.52;24.193548;306.6;17 / 21;14027;2020-01-17 17:12:29:878
-1.4581;4.4831;8.1702;-0.5233;5.2042;8.2954;-1.0561;-0.8355;-0.059;-0.0302;-0.0018;0.2106;40.0;16.8;24.2;-16.3;330.39;-33.5;1.61;3.1;70.706;22.50672;88.335236;-129.03;NaN;12.53;20.967743;304.5;12 / 20;16027;2020-01-17 17:12:31:878
1.7681;4.6376;2.2458;-0.6897;4.4632;8.7049;1.5861;-0.4127;-6.1585;0.8165;-1.422;0.0371;9.0;13.8;21.0;-14.5;334.79;-28.07;7.04;3.1;68.883;22.50678;88.335144;-129.03;NaN;18.54;22.580645;308.4;13 / 23;18027;2020-01-17 17:12:33:878
-1.1947;8.1391;8.5293;0.3321;4.8151;8.5367;-1.4337;3.0551;0.1468;-0.9532;0.0385;0.2704;14.0;15.8;26.1;-19.4;332.16;-29.41;-2.23;3.1;68.258;22.506853;88.33508;-129.03;NaN;14.65;22.580645;315.3;13 / 21;20027;2020-01-17 17:12:35:878
0.4369;6.2369;9.8893;0.2102;5.0306;8.4154;0.4278;1.2648;1.4365;0.1463;-0.2596;-0.0118;26.0;17.4;25.2;-19.3;330.59;-30.86;-1.43;3.1;72.399;22.506926;88.335014;-135.48;NaN;14.33;20.967743;313.2;12 / 21;22027;2020-01-17 17:12:37:878
